GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PokeJavaApp,me.pavva.PokeJava,Pokemon,64,181,21,13,18,58,15,21,0,19
PokeJavaApp,me.pavva.PokeJava,App,747,0,38,0,99,0,21,0,2,0
